"customer","staff","date","amount","running_total"
"Shirley Allen","Jon Stephens","2007-02-15","4.99","64.87"
"Cynthia Young","Jon Stephens","2007-02-15","2.99","72.85"
"Cynthia Young","Mike Hillyer","2007-02-15","4.99","72.85"
"Anna Hill","Mike Hillyer","2007-02-15","10.99","83.84"
"Martha Gonzalez","Jon Stephens","2007-02-15","2.99","86.83"
"Carolyn Perez","Jon Stephens","2007-02-15","0.99","87.82"
"Christine Roberts","Jon Stephens","2007-02-15","4.99","92.81"
"Marie Turner","Mike Hillyer","2007-02-15","3.99","96.80"
"Catherine Campbell","Jon Stephens","2007-02-15","4.99","101.79"
"Joyce Edwards","Jon Stephens","2007-02-15","9.99","111.78"
"Diane Collins","Mike Hillyer","2007-02-15","2.99","114.77"
"Alice Stewart","Mike Hillyer","2007-02-15","0.99","117.75"
"Alice Stewart","Jon Stephens","2007-02-15","1.99","117.75"
"Julie Sanchez","Mike Hillyer","2007-02-15","4.99","122.74"
"Cheryl Murphy","Mike Hillyer","2007-02-15","2.99","125.73"
"Mildred Bailey","Jon Stephens","2007-02-15","4.99","130.72"
"Joan Cooper","Mike Hillyer","2007-02-15","0.99","138.70"
"Joan Cooper","Jon Stephens","2007-02-15","6.99","138.70"
"Judith Cox","Jon Stephens","2007-02-15","0.99","139.69"
"Janice Ward","Mike Hillyer","2007-02-15","2.99","142.68"
"Irene Price","Jon Stephens","2007-02-15","0.99","143.67"
"Kathryn Coleman","Mike Hillyer","2007-02-15","0.99","144.66"
"Louise Jenkins","Mike Hillyer","2007-02-15","5.99","150.65"
"Sara Perry","Jon Stephens","2007-02-15","0.99","156.63"
"Sara Perry","Jon Stephens","2007-02-15","4.99","156.63"
"Bonnie Hughes","Mike Hillyer","2007-02-15","2.99","159.62"
"Julia Flores","Jon Stephens","2007-02-15","7.99","176.60"
"Julia Flores","Mike Hillyer","2007-02-15","8.99","176.60"
"Lois Butler","Mike Hillyer","2007-02-15","4.99","181.59"
"Norma Gonzales","Mike Hillyer","2007-02-15","4.99","189.57"
"Norma Gonzales","Jon Stephens","2007-02-15","2.99","189.57"
"Paula Bryant","Jon Stephens","2007-02-15","1.99","191.56"
"Diana Alexander","Jon Stephens","2007-02-15","7.99","204.53"
"Diana Alexander","Jon Stephens","2007-02-15","0.99","204.53"
"Diana Alexander","Mike Hillyer","2007-02-15","3.99","204.53"
"Lillian Griffin","Mike Hillyer","2007-02-15","3.99","208.52"
"Robin Hayes","Jon Stephens","2007-02-15","4.99","220.49"
"Robin Hayes","Mike Hillyer","2007-02-15","2.99","220.49"
"Robin Hayes","Mike Hillyer","2007-02-15","3.99","220.49"
"Crystal Ford","Jon Stephens","2007-02-15","2.99","223.48"
"Gladys Hamilton","Jon Stephens","2007-02-15","4.99","228.47"
"Rita Graham","Jon Stephens","2007-02-15","3.99","232.46"
"Florence Woods","Jon Stephens","2007-02-15","2.99","235.45"
"Tracy Cole","Mike Hillyer","2007-02-15","2.99","243.43"
"Tracy Cole","Jon Stephens","2007-02-15","4.99","243.43"
"Tiffany Jordan","Jon Stephens","2007-02-15","8.99","252.42"
"Wendy Harrison","Jon Stephens","2007-02-15","2.99","256.40"
"Wendy Harrison","Jon Stephens","2007-02-15","0.99","256.40"
"Victoria Gibson","Jon Stephens","2007-02-15","0.99","258.38"
"Victoria Gibson","Jon Stephens","2007-02-15","0.99","258.38"
"Sylvia Ortiz","Mike Hillyer","2007-02-15","3.99","262.37"
"Thelma Murray","Mike Hillyer","2007-02-15","0.99","271.35"
"Thelma Murray","Jon Stephens","2007-02-15","7.99","271.35"
"Shannon Freeman","Jon Stephens","2007-02-15","4.99","276.34"
"Ethel Webb","Mike Hillyer","2007-02-15","2.99","279.33"
"Elaine Stevens","Mike Hillyer","2007-02-15","4.99","284.32"
"Pauline Henry","Jon Stephens","2007-02-15","3.99","288.31"
"Juanita Mason","Jon Stephens","2007-02-15","0.99","289.30"
"Hazel Warren","Jon Stephens","2007-02-15","0.99","290.29"
"Debbie Reyes","Jon Stephens","2007-02-15","7.99","298.28"
"April Burns","Mike Hillyer","2007-02-15","1.99","300.27"
"Jamie Rice","Jon Stephens","2007-02-15","7.99","308.26"
"Eleanor Hunt","Jon Stephens","2007-02-15","6.99","317.24"
"Eleanor Hunt","Mike Hillyer","2007-02-15","1.99","317.24"
"Valerie Black","Jon Stephens","2007-02-15","2.99","320.23"
"Gail Knight","Jon Stephens","2007-02-15","1.99","322.22"
"Veronica Stone","Mike Hillyer","2007-02-15","0.99","323.21"
"Lauren Hudson","Jon Stephens","2007-02-15","4.99","328.20"
"Cathy Spencer","Jon Stephens","2007-02-15","4.99","333.19"
"Lynn Payne","Jon Stephens","2007-02-15","2.99","336.18"
"Sally Pierce","Mike Hillyer","2007-02-15","5.99","346.16"
"Sally Pierce","Mike Hillyer","2007-02-15","3.99","346.16"
"Regina Berry","Jon Stephens","2007-02-15","4.99","351.15"
"Bernice Willis","Jon Stephens","2007-02-15","0.99","352.14"
"Annette Olson","Jon Stephens","2007-02-15","0.99","353.13"
"June Carroll","Mike Hillyer","2007-02-15","5.99","359.12"
"Samantha Duncan","Mike Hillyer","2007-02-15","2.99","365.10"
"Samantha Duncan","Mike Hillyer","2007-02-15","2.99","365.10"
"Marion Snyder","Mike Hillyer","2007-02-15","6.99","379.08"
"Marion Snyder","Jon Stephens","2007-02-15","6.99","379.08"
"Dana Hart","Jon Stephens","2007-02-15","7.99","387.07"
"Renee Lane","Jon Stephens","2007-02-15","3.99","391.06"
"Ida Andrews","Mike Hillyer","2007-02-15","0.99","392.05"
"Holly Fox","Mike Hillyer","2007-02-15","2.99","395.04"
"Brittany Riley","Jon Stephens","2007-02-15","6.99","407.02"
"Brittany Riley","Jon Stephens","2007-02-15","4.99","407.02"
"Melanie Armstrong","Jon Stephens","2007-02-15","2.99","410.01"
"Loretta Carpenter","Mike Hillyer","2007-02-15","0.99","411.00"
"Yolanda Weaver","Mike Hillyer","2007-02-15","2.99","416.98"
"Yolanda Weaver","Mike Hillyer","2007-02-15","2.99","416.98"
"Jeanette Greene","Mike Hillyer","2007-02-15","0.99","417.97"
"Katie Elliott","Mike Hillyer","2007-02-15","4.99","422.96"
"Kristen Chavez","Mike Hillyer","2007-02-15","0.99","423.95"
"Alma Austin","Mike Hillyer","2007-02-15","2.99","426.94"
"Sue Peters","Mike Hillyer","2007-02-15","2.99","430.92"
"Sue Peters","Mike Hillyer","2007-02-15","0.99","430.92"
"Beth Franklin","Mike Hillyer","2007-02-15","4.99","435.91"
"Jeanne Lawson","Jon Stephens","2007-02-15","4.99","442.89"
"Jeanne Lawson","Jon Stephens","2007-02-15","1.99","442.89"
"Carla Gutierrez","Mike Hillyer","2007-02-15","4.99","450.87"
"Carla Gutierrez","Mike Hillyer","2007-02-15","2.99","450.87"
"Tara Ryan","Mike Hillyer","2007-02-15","4.99","455.86"
"Rosemary Schmidt","Mike Hillyer","2007-02-15","2.99","458.85"
"Eileen Carr","Mike Hillyer","2007-02-15","4.99","466.83"
"Eileen Carr","Mike Hillyer","2007-02-15","2.99","466.83"
"Tonya Chapman","Jon Stephens","2007-02-15","4.99","471.82"
"Wilma Richards","Mike Hillyer","2007-02-15","0.99","473.80"
"Wilma Richards","Jon Stephens","2007-02-15","0.99","473.80"
"Gina Williamson","Mike Hillyer","2007-02-15","0.99","474.79"
"Kristin Johnston","Jon Stephens","2007-02-15","4.99","479.78"
"Jessie Banks","Jon Stephens","2007-02-15","4.99","484.77"
"Natalie Meyer","Jon Stephens","2007-02-15","6.99","491.76"
"Agnes Bishop","Mike Hillyer","2007-02-15","2.99","494.75"
"Vera Mccoy","Mike Hillyer","2007-02-15","2.99","497.74"
"Bessie Morrison","Mike Hillyer","2007-02-15","0.99","498.73"
"Delores Hansen","Mike Hillyer","2007-02-15","8.99","507.72"
"Pearl Garza","Mike Hillyer","2007-02-15","7.99","515.71"
"Joy George","Jon Stephens","2007-02-15","3.99","519.70"
"Claudia Fuller","Jon Stephens","2007-02-15","3.99","523.69"
"Jackie Lynch","Mike Hillyer","2007-02-15","4.99","528.68"
"Marcia Dean","Mike Hillyer","2007-02-15","0.99","535.66"
"Marcia Dean","Jon Stephens","2007-02-15","5.99","535.66"
"Tanya Gilbert","Jon Stephens","2007-02-15","0.99","537.64"
"Tanya Gilbert","Mike Hillyer","2007-02-15","0.99","537.64"
"Nellie Garrett","Mike Hillyer","2007-02-15","2.99","540.63"
"Glenda Frazier","Mike Hillyer","2007-02-15","4.99","555.60"
"Glenda Frazier","Mike Hillyer","2007-02-15","4.99","555.60"
"Glenda Frazier","Jon Stephens","2007-02-15","4.99","555.60"
"Lydia Burke","Mike Hillyer","2007-02-15","0.99","562.58"
"Lydia Burke","Mike Hillyer","2007-02-15","5.99","562.58"
"Courtney Day","Mike Hillyer","2007-02-15","2.99","565.57"
"Marian Mendoza","Jon Stephens","2007-02-15","1.99","567.56"
"Dora Medina","Mike Hillyer","2007-02-15","0.99","574.54"
"Dora Medina","Mike Hillyer","2007-02-15","5.99","574.54"
"Mattie Hoffman","Mike Hillyer","2007-02-15","5.99","580.53"
"Terry Carlson","Jon Stephens","2007-02-15","1.99","582.52"
"Maxine Silva","Mike Hillyer","2007-02-15","2.99","586.50"
"Maxine Silva","Jon Stephens","2007-02-15","0.99","586.50"
"Irma Pearson","Mike Hillyer","2007-02-15","6.99","596.48"
"Irma Pearson","Mike Hillyer","2007-02-15","2.99","596.48"
"Gwendolyn May","Mike Hillyer","2007-02-15","4.99","601.47"
"Nora Herrera","Jon Stephens","2007-02-15","5.99","607.46"
"Margie Wade","Jon Stephens","2007-02-15","4.99","617.44"
"Margie Wade","Jon Stephens","2007-02-15","4.99","617.44"
"Peter Menard","Jon Stephens","2007-02-15","7.99","625.43"
"Henry Billingsley","Mike Hillyer","2007-02-15","3.99","634.41"
"Henry Billingsley","Jon Stephens","2007-02-15","4.99","634.41"
"Carl Artis","Mike Hillyer","2007-02-15","4.99","640.39"
"Carl Artis","Jon Stephens","2007-02-15","0.99","640.39"
"Joe Gilliland","Mike Hillyer","2007-02-15","2.99","644.37"
"Joe Gilliland","Mike Hillyer","2007-02-15","0.99","644.37"
"Albert Crouse","Mike Hillyer","2007-02-15","0.99","645.36"
"Jonathan Scarborough","Jon Stephens","2007-02-15","2.99","648.35"
"Justin Ngo","Mike Hillyer","2007-02-15","0.99","649.34"
"Terry Grissom","Jon Stephens","2007-02-15","0.99","650.33"
"Gerald Fultz","Mike Hillyer","2007-02-15","0.99","651.32"
"Keith Rico","Jon Stephens","2007-02-15","5.99","657.31"
"Samuel Marlow","Mike Hillyer","2007-02-15","2.99","660.30"
"Willie Markham","Jon Stephens","2007-02-15","4.99","665.29"
"Ralph Madrigal","Jon Stephens","2007-02-15","0.99","666.28"
"Nicholas Barfield","Mike Hillyer","2007-02-15","2.99","672.26"
"Nicholas Barfield","Mike Hillyer","2007-02-15","2.99","672.26"
"Roy Whiting","Jon Stephens","2007-02-15","4.99","677.25"
"Bruce Schwarz","Mike Hillyer","2007-02-15","1.99","679.24"
"Brandon Huey","Jon Stephens","2007-02-15","1.99","681.23"
"Harry Arce","Mike Hillyer","2007-02-15","9.99","691.22"
"Fred Wheat","Mike Hillyer","2007-02-15","0.99","692.21"
"Billy Poulin","Jon Stephens","2007-02-15","2.99","697.19"
"Billy Poulin","Mike Hillyer","2007-02-15","1.99","697.19"
"Louis Leone","Mike Hillyer","2007-02-15","6.99","704.18"
"Aaron Selby","Mike Hillyer","2007-02-15","5.99","713.16"
"Aaron Selby","Jon Stephens","2007-02-15","2.99","713.16"
"Randy Gaither","Jon Stephens","2007-02-15","0.99","714.15"
"Carlos Coughlin","Mike Hillyer","2007-02-15","8.99","723.14"
"Bobby Boudreau","Mike Hillyer","2007-02-15","3.99","727.13"
"Jesse Schilling","Jon Stephens","2007-02-15","0.99","729.11"
"Jesse Schilling","Mike Hillyer","2007-02-15","0.99","729.11"
"Craig Morrell","Jon Stephens","2007-02-15","6.99","736.10"
"Shawn Heaton","Jon Stephens","2007-02-15","5.99","742.09"
"Clarence Gamez","Jon Stephens","2007-02-15","0.99","743.08"
"Sean Douglass","Jon Stephens","2007-02-15","6.99","750.07"
"Chris Brothers","Jon Stephens","2007-02-15","4.99","755.06"
"Johnny Turpin","Mike Hillyer","2007-02-15","0.99","756.05"
"Earl Shanks","Jon Stephens","2007-02-15","6.99","770.02"
"Earl Shanks","Jon Stephens","2007-02-15","1.99","770.02"
"Earl Shanks","Jon Stephens","2007-02-15","4.99","770.02"
"Antonio Meek","Jon Stephens","2007-02-15","2.99","773.01"
"Bryan Hardison","Jon Stephens","2007-02-15","0.99","774.00"
"Mike Way","Mike Hillyer","2007-02-15","8.99","787.98"
"Mike Way","Jon Stephens","2007-02-15","4.99","787.98"
"Stanley Scroggins","Jon Stephens","2007-02-15","2.99","790.97"
"Leonard Schofield","Jon Stephens","2007-02-15","4.99","795.96"
"Rodney Moeller","Jon Stephens","2007-02-15","5.99","801.95"
"Curtis Irby","Mike Hillyer","2007-02-15","2.99","804.94"
"Jeffery Pinson","Mike Hillyer","2007-02-15","4.99","809.93"
"Alfred Casillas","Mike Hillyer","2007-02-15","3.99","813.92"
"Jesus Mccartney","Mike Hillyer","2007-02-15","5.99","819.91"
"Herbert Kruger","Mike Hillyer","2007-02-15","3.99","826.89"
"Herbert Kruger","Jon Stephens","2007-02-15","2.99","826.89"
"Ray Houle","Mike Hillyer","2007-02-15","2.99","833.86"
"Ray Houle","Mike Hillyer","2007-02-15","2.99","833.86"
"Ray Houle","Jon Stephens","2007-02-15","0.99","833.86"
"Eddie Tomlin","Mike Hillyer","2007-02-15","0.99","834.85"
"Ricky Shelby","Jon Stephens","2007-02-15","0.99","835.84"
"Barry Lovelace","Mike Hillyer","2007-02-15","4.99","840.83"
"Alexander Fennell","Mike Hillyer","2007-02-15","4.99","845.82"
"Leroy Bustamante","Mike Hillyer","2007-02-15","5.99","852.80"
"Leroy Bustamante","Jon Stephens","2007-02-15","0.99","852.80"
"Marcus Hidalgo","Jon Stephens","2007-02-15","3.99","859.77"
"Marcus Hidalgo","Mike Hillyer","2007-02-15","0.99","859.77"
"Marcus Hidalgo","Jon Stephens","2007-02-15","1.99","859.77"
"Clifford Bowens","Jon Stephens","2007-02-15","0.99","860.76"
"Miguel Betancourt","Mike Hillyer","2007-02-15","5.99","866.75"
"Oscar Aquino","Jon Stephens","2007-02-15","4.99","871.74"
"Jim Rea","Mike Hillyer","2007-02-15","0.99","872.73"
"Tom Milner","Mike Hillyer","2007-02-15","5.99","883.71"
"Tom Milner","Jon Stephens","2007-02-15","4.99","883.71"
"Jon Wiles","Jon Stephens","2007-02-15","1.99","885.70"
"Ronnie Ricketts","Mike Hillyer","2007-02-15","2.99","888.69"
"Bill Gavin","Jon Stephens","2007-02-15","4.99","893.68"
"Leon Bostic","Jon Stephens","2007-02-15","0.99","894.67"
"Darrell Power","Mike Hillyer","2007-02-15","2.99","897.66"
"Jerome Kenyon","Jon Stephens","2007-02-15","4.99","902.65"
"Floyd Gandy","Mike Hillyer","2007-02-15","2.99","905.64"
"Tim Cary","Jon Stephens","2007-02-15","2.99","908.63"
"Wesley Bull","Jon Stephens","2007-02-15","0.99","909.62"
"Gordon Allard","Mike Hillyer","2007-02-15","0.99","911.60"
"Gordon Allard","Jon Stephens","2007-02-15","0.99","911.60"
"Dean Sauer","Jon Stephens","2007-02-15","2.99","919.58"
"Dean Sauer","Mike Hillyer","2007-02-15","4.99","919.58"
"Greg Robins","Mike Hillyer","2007-02-15","4.99","924.57"
"Corey Hauser","Mike Hillyer","2007-02-15","0.99","925.56"
"Roberto Vu","Mike Hillyer","2007-02-15","3.99","929.55"
"Rick Mattox","Mike Hillyer","2007-02-15","4.99","937.53"
"Rick Mattox","Jon Stephens","2007-02-15","2.99","937.53"
"Gene Sanborn","Mike Hillyer","2007-02-15","6.99","944.52"
"Marc Outlaw","Mike Hillyer","2007-02-15","2.99","952.50"
"Marc Outlaw","Jon Stephens","2007-02-15","4.99","952.50"
"Reginald Kinder","Jon Stephens","2007-02-15","5.99","964.48"
"Reginald Kinder","Mike Hillyer","2007-02-15","5.99","964.48"
"Leslie Seward","Mike Hillyer","2007-02-15","6.99","974.46"
"Leslie Seward","Mike Hillyer","2007-02-15","2.99","974.46"
"Edgar Rhoads","Jon Stephens","2007-02-15","4.99","979.45"
"Raul Fortier","Mike Hillyer","2007-02-15","2.99","982.44"
"Ben Easter","Jon Stephens","2007-02-15","5.99","988.43"
"Chester Benner","Mike Hillyer","2007-02-15","2.99","994.41"
"Chester Benner","Jon Stephens","2007-02-15","2.99","994.41"
"Andre Rapp","Jon Stephens","2007-02-15","5.99","1005.39"
"Andre Rapp","Mike Hillyer","2007-02-15","4.99","1005.39"
"Elmer Noe","Mike Hillyer","2007-02-15","1.99","1007.38"
"Mitchell Westmoreland","Mike Hillyer","2007-02-15","0.99","1008.37"
"Arnold Havens","Mike Hillyer","2007-02-15","3.99","1012.36"
"Jared Ely","Mike Hillyer","2007-02-15","1.99","1014.35"
"Karl Seal","Mike Hillyer","2007-02-15","4.99","1019.34"
"Cory Meehan","Mike Hillyer","2007-02-15","2.99","1022.33"
"Erik Guillen","Mike Hillyer","2007-02-15","1.99","1024.32"
"Darryl Ashcraft","Jon Stephens","2007-02-15","1.99","1027.30"
"Darryl Ashcraft","Mike Hillyer","2007-02-15","0.99","1027.30"
"Jessie Milam","Mike Hillyer","2007-02-15","5.99","1033.29"
"Clinton Buford","Mike Hillyer","2007-02-15","2.99","1036.28"
"Ted Breaux","Mike Hillyer","2007-02-15","5.99","1042.27"
"Mathew Bolin","Mike Hillyer","2007-02-15","0.99","1052.24"
"Mathew Bolin","Jon Stephens","2007-02-15","4.99","1052.24"
"Mathew Bolin","Jon Stephens","2007-02-15","3.99","1052.24"
"Tyrone Asher","Jon Stephens","2007-02-15","4.99","1060.22"
"Tyrone Asher","Jon Stephens","2007-02-15","2.99","1060.22"
"Cody Nolen","Jon Stephens","2007-02-15","10.99","1073.20"
"Cody Nolen","Mike Hillyer","2007-02-15","1.99","1073.20"
"Kelly Knott","Jon Stephens","2007-02-15","0.99","1074.19"
"Allan Cornish","Mike Hillyer","2007-02-15","1.99","1076.18"
"Guy Brownlee","Mike Hillyer","2007-02-15","6.99","1083.17"
"Jordan Archuleta","Mike Hillyer","2007-02-15","4.99","1088.16"
"Ian Still","Jon Stephens","2007-02-15","2.99","1091.15"
"Ken Prewitt","Jon Stephens","2007-02-15","4.99","1096.14"
"Jaime Nettles","Jon Stephens","2007-02-15","4.99","1101.13"
"Dave Gardiner","Mike Hillyer","2007-02-15","6.99","1108.12"
"Ivan Cromwell","Jon Stephens","2007-02-15","4.99","1118.10"
"Ivan Cromwell","Mike Hillyer","2007-02-15","4.99","1118.10"
"Johnnie Chisholm","Jon Stephens","2007-02-15","3.99","1127.08"
"Johnnie Chisholm","Mike Hillyer","2007-02-15","4.99","1127.08"
"Isaac Oglesby","Jon Stephens","2007-02-15","2.99","1130.07"
"Morris Mccarter","Mike Hillyer","2007-02-15","4.99","1135.06"
"Ross Grey","Mike Hillyer","2007-02-15","0.99","1136.05"
"Marshall Thorn","Mike Hillyer","2007-02-15","3.99","1140.04"
"Salvador Teel","Jon Stephens","2007-02-15","3.99","1144.03"
"Perry Swafford","Mike Hillyer","2007-02-15","0.99","1153.01"
"Perry Swafford","Jon Stephens","2007-02-15","7.99","1153.01"
"Kirk Stclair","Mike Hillyer","2007-02-15","2.99","1156.99"
"Kirk Stclair","Jon Stephens","2007-02-15","0.99","1156.99"
"Sergio Stanfield","Jon Stephens","2007-02-15","2.99","1159.98"
"Tracy Herrmann","Mike Hillyer","2007-02-15","4.99","1164.97"
"Seth Hannon","Jon Stephens","2007-02-15","7.99","1172.96"
"Kent Arsenault","Mike Hillyer","2007-02-15","0.99","1173.95"
"Terrance Roush","Mike Hillyer","2007-02-15","2.99","1182.93"
"Terrance Roush","Jon Stephens","2007-02-15","5.99","1182.93"
"Eduardo Hiatt","Jon Stephens","2007-02-15","5.99","1188.92"
"Mary Smith","Mike Hillyer","2007-02-16","4.99","4.99"
"Linda Williams","Mike Hillyer","2007-02-16","6.99","20.97"
"Linda Williams","Mike Hillyer","2007-02-16","8.99","20.97"
"Barbara Jones","Jon Stephens","2007-02-16","2.99","25.94"
"Barbara Jones","Jon Stephens","2007-02-16","0.99","25.94"
"Barbara Jones","Mike Hillyer","2007-02-16","0.99","25.94"
"Elizabeth Brown","Jon Stephens","2007-02-16","2.99","28.93"
"Jennifer Davis","Mike Hillyer","2007-02-16","3.99","35.91"
"Jennifer Davis","Jon Stephens","2007-02-16","2.99","35.91"
"Maria Miller","Jon Stephens","2007-02-16","0.99","36.90"
"Dorothy Taylor","Mike Hillyer","2007-02-16","4.99","41.89"
"Nancy Thomas","Jon Stephens","2007-02-16","5.99","47.88"
"Carol Garcia","Jon Stephens","2007-02-16","4.99","52.87"
"Sharon Robinson","Jon Stephens","2007-02-16","0.99","53.86"
"Kimberly Lee","Mike Hillyer","2007-02-16","2.99","56.85"
"Deborah Walker","Jon Stephens","2007-02-16","6.99","63.84"
"Jessica Hall","Jon Stephens","2007-02-16","4.99","68.83"
"Shirley Allen","Jon Stephens","2007-02-16","2.99","71.82"
"Brenda Wright","Jon Stephens","2007-02-16","4.99","78.80"
"Brenda Wright","Mike Hillyer","2007-02-16","1.99","78.80"
"Virginia Green","Mike Hillyer","2007-02-16","0.99","79.79"
"Pamela Baker","Jon Stephens","2007-02-16","3.99","90.76"
"Pamela Baker","Mike Hillyer","2007-02-16","4.99","90.76"
"Pamela Baker","Jon Stephens","2007-02-16","1.99","90.76"
"Debra Nelson","Mike Hillyer","2007-02-16","5.99","96.75"
"Janet Phillips","Mike Hillyer","2007-02-16","4.99","101.74"
"Ann Evans","Jon Stephens","2007-02-16","9.99","111.73"
"Joyce Edwards","Jon Stephens","2007-02-16","6.99","119.71"
"Joyce Edwards","Jon Stephens","2007-02-16","0.99","119.71"
"Diane Collins","Mike Hillyer","2007-02-16","4.99","124.70"
"Teresa Rogers","Mike Hillyer","2007-02-16","2.99","132.68"
"Teresa Rogers","Mike Hillyer","2007-02-16","4.99","132.68"
"Doris Reed","Jon Stephens","2007-02-16","2.99","135.67"
"Gloria Cook","Jon Stephens","2007-02-16","6.99","142.66"
"Cheryl Murphy","Mike Hillyer","2007-02-16","3.99","146.65"
"Joan Cooper","Mike Hillyer","2007-02-16","0.99","147.64"
"Ashley Richardson","Jon Stephens","2007-02-16","0.99","148.63"
"Nicole Peterson","Jon Stephens","2007-02-16","5.99","154.62"
"Judy Gray","Mike Hillyer","2007-02-16","2.99","157.61"
"Beverly Brooks","Mike Hillyer","2007-02-16","0.99","158.60"
"Irene Price","Mike Hillyer","2007-02-16","6.99","165.59"
"Jane Bennett","Mike Hillyer","2007-02-16","4.99","170.58"
"Kathryn Coleman","Jon Stephens","2007-02-16","0.99","171.57"
"Louise Jenkins","Mike Hillyer","2007-02-16","5.99","181.55"
"Louise Jenkins","Jon Stephens","2007-02-16","3.99","181.55"
"Sara Perry","Jon Stephens","2007-02-16","0.99","182.54"
"Anne Powell","Mike Hillyer","2007-02-16","1.99","184.53"
"Jacqueline Long","Jon Stephens","2007-02-16","0.99","190.51"
"Jacqueline Long","Jon Stephens","2007-02-16","4.99","190.51"
"Wanda Patterson","Jon Stephens","2007-02-16","4.99","195.50"
"Norma Gonzales","Jon Stephens","2007-02-16","3.99","199.49"
"Lillian Griffin","Jon Stephens","2007-02-16","5.99","205.48"
"Emily Diaz","Mike Hillyer","2007-02-16","4.99","210.47"
"Dawn Sullivan","Jon Stephens","2007-02-16","3.99","214.46"
"Edna West","Jon Stephens","2007-02-16","2.99","217.45"
"Carmen Owens","Mike Hillyer","2007-02-16","6.99","224.44"
"Rosa Reynolds","Mike Hillyer","2007-02-16","4.99","229.43"
"Victoria Gibson","Jon Stephens","2007-02-16","4.99","234.42"
"Edith Mcdonald","Mike Hillyer","2007-02-16","2.99","237.41"
"Kim Cruz","Jon Stephens","2007-02-16","4.99","242.40"
"Sylvia Ortiz","Mike Hillyer","2007-02-16","4.99","247.39"
"Josephine Gomez","Mike Hillyer","2007-02-16","2.99","252.37"
"Josephine Gomez","Mike Hillyer","2007-02-16","1.99","252.37"
"Shannon Freeman","Jon Stephens","2007-02-16","4.99","258.35"
"Shannon Freeman","Mike Hillyer","2007-02-16","0.99","258.35"
"Elaine Stevens","Jon Stephens","2007-02-16","2.99","261.34"
"Carrie Porter","Jon Stephens","2007-02-16","0.99","262.33"
"Charlotte Hunter","Mike Hillyer","2007-02-16","2.99","265.32"
"Monica Hicks","Mike Hillyer","2007-02-16","9.99","280.30"
"Monica Hicks","Jon Stephens","2007-02-16","4.99","280.30"
"Esther Crawford","Mike Hillyer","2007-02-16","0.99","281.29"
"Emma Boyd","Mike Hillyer","2007-02-16","9.99","292.27"
"Emma Boyd","Jon Stephens","2007-02-16","0.99","292.27"
"Juanita Mason","Jon Stephens","2007-02-16","1.99","294.26"
"Amber Dixon","Mike Hillyer","2007-02-16","2.99","297.25"
